id,issue_category,issue_description,resolution,content,created_date
ISP0001,WiFi Issue,Customer reported wifi issue affecting internet service ticket 1,"Standard resolution applied for wifi issue including troubleshooting, configuration validation, and service restoration.","Issue Category: WiFi Issue

Issue Description:
Customer reported wifi issue affecting internet service ticket 1

Resolution:
Standard resolution applied for wifi issue including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-01
ISP0002,Fiber Issue,Customer reported fiber issue affecting internet service ticket 2,"Standard resolution applied for fiber issue including troubleshooting, configuration validation, and service restoration.","Issue Category: Fiber Issue

Issue Description:
Customer reported fiber issue affecting internet service ticket 2

Resolution:
Standard resolution applied for fiber issue including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-02
ISP0003,DNS Issue,Customer reported dns issue affecting internet service ticket 3,"Standard resolution applied for dns issue including troubleshooting, configuration validation, and service restoration.","Issue Category: DNS Issue

Issue Description:
Customer reported dns issue affecting internet service ticket 3

Resolution:
Standard resolution applied for dns issue including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-03
ISP0004,Authentication,Customer reported authentication affecting internet service ticket 4,"Standard resolution applied for authentication including troubleshooting, configuration validation, and service restoration.","Issue Category: Authentication

Issue Description:
Customer reported authentication affecting internet service ticket 4

Resolution:
Standard resolution applied for authentication including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-04
ISP0005,Speed Issue,Customer reported speed issue affecting internet service ticket 5,"Standard resolution applied for speed issue including troubleshooting, configuration validation, and service restoration.","Issue Category: Speed Issue

Issue Description:
Customer reported speed issue affecting internet service ticket 5

Resolution:
Standard resolution applied for speed issue including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-05
ISP0006,Network Outage,Customer reported network outage affecting internet service ticket 6,"Standard resolution applied for network outage including troubleshooting, configuration validation, and service restoration.","Issue Category: Network Outage

Issue Description:
Customer reported network outage affecting internet service ticket 6

Resolution:
Standard resolution applied for network outage including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-06
ISP0007,Billing Issue,Customer reported billing issue affecting internet service ticket 7,"Standard resolution applied for billing issue including troubleshooting, configuration validation, and service restoration.","Issue Category: Billing Issue

Issue Description:
Customer reported billing issue affecting internet service ticket 7

Resolution:
Standard resolution applied for billing issue including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-07
ISP0008,Provisioning,Customer reported provisioning affecting internet service ticket 8,"Standard resolution applied for provisioning including troubleshooting, configuration validation, and service restoration.","Issue Category: Provisioning

Issue Description:
Customer reported provisioning affecting internet service ticket 8

Resolution:
Standard resolution applied for provisioning including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-08
ISP0009,Device Issue,Customer reported device issue affecting internet service ticket 9,"Standard resolution applied for device issue including troubleshooting, configuration validation, and service restoration.","Issue Category: Device Issue

Issue Description:
Customer reported device issue affecting internet service ticket 9

Resolution:
Standard resolution applied for device issue including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-09
ISP0010,Routing Issue,Customer reported routing issue affecting internet service ticket 10,"Standard resolution applied for routing issue including troubleshooting, configuration validation, and service restoration.","Issue Category: Routing Issue

Issue Description:
Customer reported routing issue affecting internet service ticket 10

Resolution:
Standard resolution applied for routing issue including troubleshooting, configuration validation, and service restoration.

Troubleshooting Steps:
1. Verify service status.
2. Check customer equipment.
3. Validate network configuration.
4. Apply corrective action.
5. Confirm service restoration.",2026-01-10
